Employee First Name,Employee Last Name,Job Title,Employee Work Email,Company Name,Company Website,Company HQ Phone,Street,City,State Full,State,Zip Code,Country,Industries,Employees,Revenue,Job Level,Job Function
Jean,Regnier,Vice President of Accounting,dianne.bascom@uni.edu,Arthur W Wood Co Inc,www.arthurwood.com,1.617.542.0500,"185 Devonshire St Boston, MA02110-1414",Boston,New York,MA,02110-1414,United States,"Financial Services, Securities Agents and Brokers",25-Oct,10 - 1000000,VP of Accounting,
Kevin,Grady,Vice President of Accounting,dianne.bascom@uni.edu,Arthur W Wood Co Inc,www.arthurwood.com,1.617.542.0500,"185 Devonshire St Boston, MA02110-1414",Boston,New York,MA,02110-1414,United States,"Financial Services, Securities Agents and Brokers",25-Nov,11 - 1000000,VP of Accounting,
Stephen,Conrad,Vice President of Accounting,dianne.bascom@uni.edu,Arthur W Wood Co Inc,www.arthurwood.com,1.617.542.0500,"185 Devonshire St Boston, MA02110-1414",Boston,New York,MA,02110-1414,United States,"Financial Services, Securities Agents and Brokers",25-Dec,12 - 1000000,VP of Accounting,
Evan,Slade,Vice President of Accounting,dianne.bascom@uni.edu,The Response Companies,www.responseco.com,1.212.983.8870,23 E 39th St,New York,New York,NY,10016-0930,United States,"Consumer Services, Consumer Services Other",13 - 25,13 - 1000000,VP of Accounting,
Heather,Thomas,Vice President of Accounting,dianne.bascom@uni.edu,Building Image Group,www.buildingimagegroup.com,1.512.494.4166,1200 E 3rd St,Austin,New York,TX,78702-4314,United States,"Business Services, Business Services Other",14 - 25,14 - 1000000,VP of Accounting,
Andrea,Bazan,Vice President of Accounting,dianne.bascom@uni.edu,"McGriff, Seibels & Williams, Inc",www.mcgriff.com,1.205.252.9871,2211 7th Ave S,Birmingham,New York,AL,35233-2310,United States,"Financial Services, Insurance and Risk Management",15 - 25,15 - 1000000,VP of Accounting,
Matt,Kosciusko,Vice President of Accounting,dianne.bascom@uni.edu,Woodruff-Sawyer & Company,www.wsandco.com,1.415.391.2141,"50 California St San Francisco, CA94111-4646",San Francisco,New York,CA,94111-4646,United States,"Business Services, Business Services Other",16 - 25,16 - 1000000,VP of Accounting,
Lisa,Samuels,Vice President of Accounting,dianne.bascom@uni.edu,Lawyers Title Insurance Company,www.ltic.com,1.888.866.3684,601 Riverside Ave,Jacksonville,New York,FL,32204-2901,United States,"Real Estate & Construction, Real Estate Agents and Appraisers Business Services, Business Services Other",17 - 25,17 - 1000000,VP of Accounting,
Martha,Menner,Vice President of Accounting,dianne.bascom@uni.edu,J W Terrill,www.jwterrill.com,1.314.594.2700,"825 Maryville Centre Dr Chesterfield, MO63017-6056",Chesterfield,New York,MO,63017-6056,United States,"Financial Services, Insurance and Risk Management",18 - 25,18 - 1000000,VP of Accounting,
Susan,Parker,Vice President of Accounting,dianne.bascom@uni.edu,"Lockton Companies, LLC",www.lockton.com,1.816.960.9000,"444 W 47th St Kansas City, MO64112-1906",Kansas City,New York,MO,64112-1906,United States,"Financial Services, Insurance and Risk Management",19 - 25,19 - 1000000,VP of Accounting,
Michael,Louie,Vice President of Accounting,dianne.bascom@uni.edu,Tri-Star Offset Corp,www.tristaroffset.com,1.718.894.5555,"6020 59th Pl Maspeth, NY11378-3349",Maspeth,New York,NY,11378-3349,United States,"Manufacturing, Manufacturing Other Media & Entertainment, Newspapers, Books and Periodicals",20 - 25,20 - 1000000,VP of Accounting,
Brett,Larocque,Vice President of Accounting,dianne.bascom@uni.edu,"Fidelity National Financial, Inc.",www.fnf.com,1.904.854.8100,601 Riverside Ave,Jacksonville,New York,FL,32204-2901,United States,"Financial Services, Insurance and Risk Management Financial Services, Lending and Mortgage",21 - 25,21 - 1000000,VP of Accounting,
Darlene,Ahner,Vice President of Accounting,dianne.bascom@uni.edu,"Lockton Companies, LLC",www.lockton.com,1.816.960.9000,"444 W 47th St Kansas City, MO64112-1906",Kansas City,New York,MO,64112-1906,United States,"Financial Services, Insurance and Risk Management",22 - 25,22 - 1000000,VP of Accounting,
Sebastian,Gomez Gomez,Vice President of Accounting,dianne.bascom@uni.edu,Marsh & McLennan Companies,www.mmc.com,1.212.345.5000,"1166 Avenue Of The Americas New York, NY10036-2741",New York,New York,NY,10036-2741,United States,"Financial Services, Insurance and Risk Management Business Services, Management Consulting Business Services, Data and Records Management",23 - 25,23 - 1000000,VP of Accounting,
Arlene,Bonvillain,Vice President of Accounting,dianne.bascom@uni.edu,Capital One Financial Corporation,www.capitalone.com,1.703.720.1000,"1680 Capital One Dr Mc Lean, VA22102-3407",Mc Lean,New York,VA,22102-3407,United States,"Financial Services, Credit Cards and Related Services Financial Services, Banks Financial Services, Investment Banking and Venture Capital",24 - 25,24 - 1000000,VP of Accounting,
Lucas,Glanville,Vice President of Accounting,dianne.bascom@uni.edu,Hyatt Hotels Corporation,www.hyatt.com,1.312.750.1234,71 S Wacker Dr,Chicago,New York,IL,60606-4600,United States,"Travel, Recreation, and Leisure, Hotels, Motels and Lodging Travel, Recreation, and Leisure, Resorts and Casinos Travel, Recreation, and Leisure, Travel, Recreation, and Leisure Other",25 - 25,25 - 1000000,VP of Accounting,
Adam,Field,Vice President of Accounting,dianne.bascom@uni.edu,Elan Financial Services,www.elanfs.com,1.800.558.3424,"225 W Station Square Dr Pittsburgh, PA15219-1174",Pittsburgh,New York,PA,15219-1174,United States,"Financial Services, Financial Services Other",26 - 25,26 - 1000000,VP of Accounting,
Douglas,Binion,Vice President of Accounting,dianne.bascom@uni.edu,Euler Hermes,www.eulerhermes.com,1.410.753.0753,800 Red Brook Blvd,Owings Mills,New York,MD,21117-5173,United States,"Financial Services, Insurance and Risk Management",27 - 25,27 - 1000000,VP of Accounting,
Nancy,Mangan,Vice President of Accounting,dianne.bascom@uni.edu,"Lockton Companies, LLC",www.lockton.com,1.816.960.9000,"444 W 47th St Kansas City, MO64112-1906",Kansas City,New York,MO,64112-1906,United States,"Financial Services, Insurance and Risk Management",28 - 25,28 - 1000000,VP of Accounting,
Yelena,Kravchuk,Vice President of Accounting,dianne.bascom@uni.edu,Wells Fargo & Company,www.wellsfargo.com,1.866.249.3302,420 Montgomery St,San Francisco,New York,CA,94104-1207,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Financial Services Other",29 - 25,29 - 1000000,VP of Accounting,
Tony,Malagari,Vice President of Accounting,dianne.bascom@uni.edu,McGohan Brabender,www.mcgohanbrabender.com,1.614.210.1124,3931 S Dixie Dr,Dayton,New York,OH,45439-2313,United States,"Financial Services, Insurance and Risk Management",30 - 25,30 - 1000000,VP of Accounting,
Tim,Rieger,Vice President of Accounting,dianne.bascom@uni.edu,McGohan Brabender,www.mcgohanbrabender.com,1.614.210.1124,3931 S Dixie Dr,Dayton,New York,OH,45439-2313,United States,"Financial Services, Insurance and Risk Management",31 - 25,31 - 1000000,VP of Accounting,
Tony,Benitez,Vice President of Accounting,dianne.bascom@uni.edu,Manmade Multimedia Inc,www.manmademultimedia.com,1.310.833.2020,887 W 9th St,San Pedro,New York,CA,90731-3603,United States,"Media & Entertainment, Motion Picture and Recording Producers",32 - 25,32 - 1000000,VP of Accounting,
Elise,Kearns,Vice President of Accounting,dianne.bascom@uni.edu,"Alliant Insurance Services, Inc.",www.alliantinsurance.com,,"1301 Dove St Newport Beach, CA92660-2412",Newport Beach,New York,CA,92660-2412,United States,"Financial Services, Insurance and Risk Management",33 - 25,33 - 1000000,VP of Accounting,
Jorgeann,Marozi,Vice President of Accounting,dianne.bascom@uni.edu,"Flagstar Bancorp, Inc.",www.flagstar.com,1.248.312.2000,5151 Corporate Dr,Troy,New York,MI,48098-2639,United States,"Financial Services, Banks Financial Services, Credit Cards and Related Services",34 - 25,34 - 1000000,VP of Accounting,
Sara,Pummill,Vice President of Accounting,dianne.bascom@uni.edu,"Lockton Companies, LLC",www.lockton.com,1.816.960.9000,"444 W 47th St Kansas City, MO64112-1906",Kansas City,New York,MO,64112-1906,United States,"Financial Services, Insurance and Risk Management",35 - 25,35 - 1000000,VP of Accounting,
Stephanie,Wheeler,Vice President of Accounting,dianne.bascom@uni.edu,Brown and Riding,www.brownandriding.com,1.213.452.7060,"777 S Figueroa St Los Angeles, CA90017-5805",Los Angeles,New York,CA,90017-5805,United States,"Business Services, Business Services Other",36 - 25,36 - 1000000,VP of Accounting,
Kellie,Dodini,Vice President of Accounting,dianne.bascom@uni.edu,Bank of America,www.bankofamerica.com,1.704.386.5681,100 N Tryon St,Charlotte,New York,NC,28202,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Investment Banking and Venture Capital",37 - 25,37 - 1000000,VP of Accounting,
Brett,Moore,Vice President of Accounting,dianne.bascom@uni.edu,"Lockton Companies, LLC",www.lockton.com,1.816.960.9000,"444 W 47th St Kansas City, MO64112-1906",Kansas City,New York,MO,64112-1906,United States,"Financial Services, Insurance and Risk Management",38 - 25,38 - 1000000,VP of Accounting,
Charlie,Nicholls,Vice President of Accounting,dianne.bascom@uni.edu,Trope Group,www.tropegroup.com,1.707.546.8181,2349 Circadian Way,Santa Rosa,New York,CA,95407-5437,United States,"Retail, Furniture Stores",39 - 25,39 - 1000000,VP of Accounting,
Colette,Messerschmidt,Vice President of Accounting,dianne.bascom@uni.edu,Heffernan Insurance Brokers,www.heffins.com,1.925.934.8500,"1350 Carlback Ave Walnut Creek, CA94596-7238",Walnut Creek,New York,CA,94596-7238,United States,"Financial Services, Insurance and Risk Management",40 - 25,40 - 1000000,VP of Accounting,
Jennifer,Alimonda,Vice President of Accounting,dianne.bascom@uni.edu,SterlingRisk,www.sterlingrisk.com,1.516.487.0300,"135 Crossways Park Dr Woodbury, NY11797-2005",Woodbury,New York,NY,11797-2005,United States,"Financial Services, Insurance and Risk Management",41 - 25,41 - 1000000,VP of Accounting,
Kristin,Beaulieu,Vice President of Accounting,dianne.bascom@uni.edu,Woodruff-Sawyer & Company,www.wsandco.com,1.415.391.2141,"50 California St San Francisco, CA94111-4646",San Francisco,New York,CA,94111-4646,United States,"Business Services, Business Services Other",42 - 25,42 - 1000000,VP of Accounting,
Paul,Zederbaum,Vice President of Accounting,dianne.bascom@uni.edu,"Lockton Companies, LLC",www.lockton.com,1.816.960.9000,"444 W 47th St Kansas City, MO64112-1906",Kansas City,New York,MO,64112-1906,United States,"Financial Services, Insurance and Risk Management",43 - 25,43 - 1000000,VP of Accounting,
Scott,Cronin,Vice President of Accounting,dianne.bascom@uni.edu,"Carnall Insurance, Inc.",www.carnallinsurance.com,1.203.894.3124,401 Main St,Ridgefield,New York,CT,06877-4513,United States,"Financial Services, Insurance and Risk Management",44 - 25,44 - 1000000,VP of Accounting,
Tricia,Patton,Vice President of Accounting,dianne.bascom@uni.edu,"Traffic Builders, Inc.",www.trafficbuildersusa.com,1.502.266.6020,11524 Blankenbaker Access Dr,Louisville,New York,KY,40299-6427,United States,"Business Services, Advertising, Marketing and PR",45 - 25,45 - 1000000,VP of Accounting,
Asher,Yeheskeley,Vice President of Accounting,dianne.bascom@uni.edu,Delta Hi-Tech & Delta Fab,www.deltahi-tech.com,1.818.407.4000,9600 De Soto Ave,Chatsworth,New York,CA,91311-5012,United States,"Manufacturing, Manufacturing Other",46 - 25,46 - 1000000,VP of Accounting,
Debbie,Parrott,Vice President of Accounting,dianne.bascom@uni.edu,Group Delphi,groupdelphi.com,1.510.749.6890,950 W Tower Ave,Alameda,New York,CA,94501-5049,United States,"Manufacturing, Manufacturing Other Business Services, Advertising, Marketing and PR",47 - 25,47 - 1000000,VP of Accounting,
Byron,Mobley,Vice President of Accounting,dianne.bascom@uni.edu,CIT Group Inc.,www.cit.com,1.212.461.5200,11 W 42nd St,New York,New York,NY,10036-8002,United States,"Financial Services, Lending and Mortgage Financial Services, Trust, Fiduciary, and Custody Activities Financial Services, Financial Services Other",48 - 25,48 - 1000000,VP of Accounting,
Carolyn,Clougherty,Vice President of Accounting,dianne.bascom@uni.edu,Rutherfoord,www.rutherfoord.com,1.800.283.1478,1 S Jefferson St,Roanoke,New York,VA,24011-1303,United States,"Business Services, Management Consulting",49 - 25,49 - 1000000,VP of Accounting,
Gus,Pistiolis,Vice President of Accounting,dianne.bascom@uni.edu,CIT Group Inc.,www.cit.com,1.212.461.5200,11 W 42nd St,New York,New York,NY,10036-8002,United States,"Financial Services, Lending and Mortgage Financial Services, Trust, Fiduciary, and Custody Activities Financial Services, Financial Services Other",50 - 25,50 - 1000000,VP of Accounting,
Dirk,Knipprath,Vice President of Accounting,dianne.bascom@uni.edu,"Guy Carpenter & Company, LLC",www.guycarp.com,1.917.937.3000,1166 Avenue Of The Americas,New York,New York,NY,10036,United States,"Financial Services, Insurance and Risk Management",51 - 25,51 - 1000000,VP of Accounting,
Elizabeth,Graham,Vice President of Accounting,dianne.bascom@uni.edu,"Brown Harris Stevens Residential Sales , LLC",www.bhsusa.com,1.212.508.7200,770 Lexington Ave,New York,New York,NY,10065-8165,United States,"Real Estate & Construction, Real Estate & Construction Other",52 - 25,52 - 1000000,VP of Accounting,
Erick,Schoenberger,Vice President of Accounting,dianne.bascom@uni.edu,Associated Banc-Corp,www.associatedbank.com,1.920.491.7500,433 Main St,Green Bay,New York,WI,54301-5114,United States,"Financial Services, Banks Financial Services, Credit Cards and Related Services",53 - 25,53 - 1000000,VP of Accounting,
Teri,Sims,Vice President of Accounting,dianne.bascom@uni.edu,ISU-ERG,www.isuerg.com,1.310.534.7999,3300 Sepulveda Blvd,Torrance,New York,CA,90505,United States,"Financial Services, Banks",54 - 25,54 - 1000000,VP of Accounting,
Frank,Winburne,Vice President of Accounting,dianne.bascom@uni.edu,Lawyers Title Insurance Company,www.ltic.com,1.888.866.3684,601 Riverside Ave,Jacksonville,New York,FL,32204-2901,United States,"Real Estate & Construction, Real Estate Agents and Appraisers Business Services, Business Services Other",55 - 25,55 - 1000000,VP of Accounting,
Dan,Courtney,Vice President of Accounting,dianne.bascom@uni.edu,MetLife Inc.,www.metlife.com,1.212.578.9500,"200 Park Ave New York, NY10166-1399",New York,New York,NY,10166-1399,United States,"Financial Services, Insurance and Risk Management Financial Services, Trust, Fiduciary, and Custody Activities Financial Services, Banks",56 - 25,56 - 1000000,VP of Accounting,
Gretchen,Bell,Vice President of Accounting,dianne.bascom@uni.edu,MetLife Inc.,www.metlife.com,1.212.578.9500,"200 Park Ave New York, NY10166-1399",New York,New York,NY,10166-1399,United States,"Financial Services, Insurance and Risk Management Financial Services, Trust, Fiduciary, and Custody Activities Financial Services, Banks",57 - 25,57 - 1000000,VP of Accounting,
John,Schoone,Vice President of Accounting,dianne.bascom@uni.edu,MetLife Inc.,www.metlife.com,1.212.578.9500,"200 Park Ave New York, NY10166-1399",New York,New York,NY,10166-1399,United States,"Financial Services, Insurance and Risk Management Financial Services, Trust, Fiduciary, and Custody Activities Financial Services, Banks",58 - 25,58 - 1000000,VP of Accounting,
Chris,Sparacio,Vice President of Accounting,dianne.bascom@uni.edu,The Bank of New York Mellon Corporation,www.bnymellon.com,1.212.495.1784,1 Wall St,New York,New York,NY,10005,United States,"Financial Services, Banks Financial Services, Trust, Fiduciary, and Custody Activities Financial Services, Securities Agents and Brokers",59 - 25,59 - 1000000,VP of Accounting,
Peter,Benhene-Ocrah,Vice President of Accounting,dianne.bascom@uni.edu,Deutsche Bank AG,www.db.com,1.212.250.2500,60 Wall St,New York,New York,NY,10005-2836,United States,"Financial Services, Banks Financial Services, Investment Banking and Venture Capital Financial Services, Personal Financial Planning and Private Banking",60 - 25,60 - 1000000,VP of Accounting,
Toby,Robillard,Vice President of Accounting,dianne.bascom@uni.edu,U.S. Bancorp,www.usbank.com,1.651.466.3000,"800 Nicollet Mall Minneapolis, MN55402-7014",Minneapolis,New York,MN,55402-7014,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Credit Cards and Related Services",61 - 25,61 - 1000000,VP of Accounting,
Andrea,Kvamme,Vice President of Accounting,dianne.bascom@uni.edu,Land Title Guarantee Company,www.ltgc.com,1.303.321.1880,"3033 E 1st Ave Denver, CO80206-5620",Denver,New York,CO,80206-5620,United States,"Real Estate & Construction, Real Estate & Construction Other",62 - 25,62 - 1000000,VP of Accounting,
Molly,Beane,Vice President of Accounting,dianne.bascom@uni.edu,U.S. Bancorp,www.usbank.com,1.651.466.3000,"800 Nicollet Mall Minneapolis, MN55402-7014",Minneapolis,New York,MN,55402-7014,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Credit Cards and Related Services",63 - 25,63 - 1000000,VP of Accounting,
Andrew,Drufke,Vice President of Accounting,dianne.bascom@uni.edu,Hyatt Hotels Corporation,www.hyatt.com,1.312.750.1234,71 S Wacker Dr,Chicago,New York,IL,60606-4600,United States,"Travel, Recreation, and Leisure, Hotels, Motels and Lodging Travel, Recreation, and Leisure, Resorts and Casinos Travel, Recreation, and Leisure, Travel, Recreation, and Leisure Other",64 - 25,64 - 1000000,VP of Accounting,
Michael,Skirtich,Vice President of Accounting,dianne.bascom@uni.edu,The Bank of New York Mellon Corporation,www.bnymellon.com,1.212.495.1784,1 Wall St,New York,New York,NY,10005,United States,"Financial Services, Banks Financial Services, Trust, Fiduciary, and Custody Activities Financial Services, Securities Agents and Brokers",65 - 25,65 - 1000000,VP of Accounting,
Anne,Demoss,Vice President of Accounting,dianne.bascom@uni.edu,U.S. Bancorp,www.usbank.com,1.651.466.3000,"800 Nicollet Mall Minneapolis, MN55402-7014",Minneapolis,New York,MN,55402-7014,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Credit Cards and Related Services",66 - 25,66 - 1000000,VP of Accounting,
Chris,Ferguson,Vice President of Accounting,dianne.bascom@uni.edu,FM Global,www.fmglobal.com,1.401.275.3000,270 Central Ave,Johnston,New York,RI,02919-4923,United States,"Financial Services, Insurance and Risk Management",67 - 25,67 - 1000000,VP of Accounting,
Sabrina,Li,Vice President of Accounting,dianne.bascom@uni.edu,Citco Group of Companies,www.citco.com,1.212.401.9600,"350 Park Ave New York, NY10022-6040",New York,New York,NY,10022-6040,United States,"Financial Services, Trust, Fiduciary, and Custody Activities Financial Services, Banks",68 - 25,68 - 1000000,VP of Accounting,
Tomas,Duarte,Vice President of Accounting,dianne.bascom@uni.edu,Ticor Title Insurance,www.ticortitle.com,1.904.854.8111,601 Riverside Ave,Jacksonville,New York,FL,32204-2901,United States,"Financial Services, Insurance and Risk Management",69 - 25,69 - 1000000,VP of Accounting,
Christine,Zoldos,Vice President of Accounting,dianne.bascom@uni.edu,Wellington Management,www.wellington.com,1.617.951.5000,280 Congress St,Boston,New York,MA,02210-1003,United States,"Financial Services, Investment Banking and Venture Capital",70 - 25,70 - 1000000,VP of Accounting,
Donna,Famiglietti,Vice President of Accounting,dianne.bascom@uni.edu,Hyatt Leader Ltd.,www.hyattleader.com,1.212.993.8010,622 3rd Ave,New York,New York,NY,10017-6707,United States,"Business Services, HR and Recruiting Services Business Services, Management Consulting",71 - 25,71 - 1000000,VP of Accounting,
Ellen,Fleming,Vice President of Accounting,dianne.bascom@uni.edu,Jorgensen & Brooks Group,www.jorgensenbrooks.com,1.520.575.8623,"2292 W Magee Rd Tucson, AZ85742-4306",Tucson,New York,AZ,85742-4306,United States,"Business Services, HR and Recruiting Services",72 - 25,72 - 1000000,VP of Accounting,
Patricia,Trlak,Vice President of Accounting,dianne.bascom@uni.edu,U.S. Bancorp,www.usbank.com,1.651.466.3000,"800 Nicollet Mall Minneapolis, MN55402-7014",Minneapolis,New York,MN,55402-7014,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Credit Cards and Related Services",73 - 25,73 - 1000000,VP of Accounting,
Mark,Hoops,Vice President of Accounting,dianne.bascom@uni.edu,SMART Tuition Management Services,www.smarttuition.com,1.800.762.7808,"1 Woodbridge Ctr Woodbridge, NJ07095-1160",Woodbridge,New York,NJ,07095-1160,United States,"Education, Education Other Business Services, Business Services Other",74 - 25,74 - 1000000,VP of Accounting,
Terry,Stewart,Vice President of Accounting,dianne.bascom@uni.edu,Bovard Insurance Group,www.bovardinsurancegroup.com,1.913.529.1130,6950 Squibb Rd,Mission,New York,KS,66202,United States,"Financial Services, Insurance and Risk Management",75 - 25,75 - 1000000,VP of Accounting,
Tanya,Cody,Vice President of Accounting,dianne.bascom@uni.edu,U.S. Bancorp,www.usbank.com,1.651.466.3000,"800 Nicollet Mall Minneapolis, MN55402-7014",Minneapolis,New York,MN,55402-7014,United States,"Financial Services, Banks Financial Services, Lending and Mortgage Financial Services, Credit Cards and Related Services",76 - 25,76 - 1000000,VP of Accounting,
Pat,Wright,Vice President of Accounting,dianne.bascom@uni.edu,Cecil W Powell,www.cwpowellins.com,1.904.353.3181,219 N Newnan St,Jacksonville,New York,FL,32202-3227,United States,"Financial Services, Insurance and Risk Management",77 - 25,77 - 1000000,VP of Accounting,
Vickie,Mulanax,Vice President of Accounting,dianne.bascom@uni.edu,"First Financial Bankshares, Inc.",www.ffin.com,1.325.627.7155,"400 Pine St Abilene, TX79601-0601",Abilene,New York,TX,79601-0601,United States,"Financial Services, Personal Financial Planning and Private Banking Financial Services, Banks Financial Services, Financial Services Other",78 - 25,78 - 1000000,VP of Accounting,
Andrew,Held,Vice President of Accounting,dianne.bascom@uni.edu,UBS Global Asset Management,www.ubs.com,1.212.713.2000,1285 Avenue Of The Americas,New York,New York,NY,10019-6031,United States,"Financial Services, Personal Financial Planning and Private Banking Financial Services, Investment Banking and Venture Capital",79 - 25,79 - 1000000,VP of Accounting,
Alan,Blume,Vice President of Accounting,dianne.bascom@uni.edu,UBS Global Asset Management,www.ubs.com,1.212.713.2000,1285 Avenue Of The Americas,New York,New York,NY,10019-6031,United States,"Financial Services, Personal Financial Planning and Private Banking Financial Services, Investment Banking and Venture Capital",80 - 25,80 - 1000000,VP of Accounting,
Alexander,Davidson,Vice President of Accounting,dianne.bascom@uni.edu,UBS Global Asset Management,www.ubs.com,1.212.713.2000,1285 Avenue Of The Americas,New York,New York,NY,10019-6031,United States,"Financial Services, Personal Financial Planning and Private Banking Financial Services, Investment Banking and Venture Capital",81 - 25,81 - 1000000,VP of Accounting,
Allan,Reta,Vice President of Accounting,dianne.bascom@uni.edu,UBS Global Asset Management,www.ubs.com,1.212.713.2000,1285 Avenue Of The Americas,New York,New York,NY,10019-6031,United States,"Financial Services, Personal Financial Planning and Private Banking Financial Services, Investment Banking and Venture Capital",82 - 25,82 - 1000000,VP of Accounting,
Allison,Tarpley,Vice President of Accounting,dianne.bascom@uni.edu,UBS Global Asset Management,www.ubs.com,1.212.713.2000,1285 Avenue Of The Americas,New York,New York,NY,10019-6031,United States,"Financial Services, Personal Financial Planning and Private Banking Financial Services, Investment Banking and Venture Capital",83 - 25,83 - 1000000,VP of Accounting,
Andrea,Landini,Vice President of Accounting,dianne.bascom@uni.edu,UBS Global Asset Management,www.ubs.com,1.212.713.2000,1285 Avenue Of The Americas,New York,New York,NY,10019-6031,United States,"Financial Services, Personal Financial Planning and Private Banking Financial Services, Investment Banking and Venture Capital",84 - 25,84 - 1000000,VP of Accounting,
Andrew,Hanson,Vice President of Accounting,dianne.bascom@uni.edu,UBS Global Asset Management,www.ubs.com,1.212.713.2000,1285 Avenue Of The Americas,New York,New York,NY,10019-6031,United States,"Financial Services, Personal Financial Planning and Private Banking Financial Services, Investment Banking and Venture Capital",85 - 25,85 - 1000000,VP of Accounting,
Benjie,Gentry,Vice President of Accounting,dianne.bascom@uni.edu,UBS Global Asset Management,www.ubs.com,1.212.713.2000,1285 Avenue Of The Americas,New York,New York,NY,10019-6031,United States,"Financial Services, Personal Financial Planning and Private Banking Financial Services, Investment Banking and Venture Capital",86 - 25,86 - 1000000,VP of Accounting,
Bruce,Hittner,Vice President of Accounting,dianne.bascom@uni.edu,Cleanse TEC Inc,www.soapman.com,1.718.346.9111,1000 Linwood St,Brooklyn,New York,NY,11208-5320,United States,"Manufacturing, Textiles, Apparel and Accessories",87 - 25,87 - 1000000,VP of Accounting,
Bob,Gomez,Vice President of Accounting,dianne.bascom@uni.edu,UBS Global Asset Management,www.ubs.com,1.212.713.2000,1285 Avenue Of The Americas,New York,New York,NY,10019-6031,United States,"Financial Services, Personal Financial Planning and Private Banking Financial Services, Investment Banking and Venture Capital",88 - 25,88 - 1000000,VP of Accounting,
Brian,Gooding,Vice President of Accounting,dianne.bascom@uni.edu,UBS Global Asset Management,www.ubs.com,1.212.713.2000,1285 Avenue Of The Americas,New York,New York,NY,10019-6031,United States,"Financial Services, Personal Financial Planning and Private Banking Financial Services, Investment Banking and Venture Capital",89 - 25,89 - 1000000,VP of Accounting,
